Starting sarsa training
[INFO] [1743221405.097965, 153.640000]: Joint states ready
[INFO] [1743221405.187104, 153.687000]: Odometry ready
[INFO] [1743221405.323725, 153.749000]: Model states ready
[INFO] [1743221405.329111, 153.753000]: All sensors are ready
[INFO] [1743221405.889434, 153.991000]: Waiting for subscribers to joint position controllers...
[INFO] [1743221406.082437, 154.091000]: Waiting for subscribers to joint position controllers...
[INFO] [1743221406.211495, 154.191000]: Waiting for subscribers to joint position controllers...
[INFO] [1743221406.422532, 154.295000]: Waiting for subscribers to joint position controllers...
[INFO] [1743221406.622482, 154.391000]: Waiting for subscribers to joint position controllers...
[INFO] [1743221406.738431, 154.491000]: Waiting for subscribers to joint position controllers...
[INFO] [1743221406.784077, 154.499000]: Joint position publishers connected
[INFO] [1743221406.798249, 154.505000]: Starting RobotGazeboEnv
[INFO] [1743221407.103455, 154.679000]: Initial height of Gurdy: 0.06542400541994024
[INFO] [1743221409.279251, 155.729000]: Episode: 0/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.895 | Time: 2.3s | Head Height: 0.065
[INFO] [1743221409.383641, 155.789000]: Initial height of Gurdy: 0.06539616453676608
[INFO] [1743221410.509874, 156.378000]: Episode: 1/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.891 | Time: 3.5s | Head Height: 0.065
[INFO] [1743221410.677668, 156.465000]: Initial height of Gurdy: 0.07234894236536316
[INFO] [1743221411.723857, 157.023000]: Episode: 2/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.887 | Time: 4.7s | Head Height: 0.079
[INFO] [1743221411.831561, 157.084000]: Initial height of Gurdy: 0.0791746378398355
[INFO] [1743221412.791886, 157.576000]: Episode: 3/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.882 | Time: 5.8s | Head Height: 0.080
[INFO] [1743221412.906261, 157.648000]: Initial height of Gurdy: 0.07190420198065783
[INFO] [1743221413.998057, 158.208000]: Episode: 4/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.878 | Time: 7.0s | Head Height: 0.073
[INFO] [1743221414.112540, 158.283000]: Initial height of Gurdy: 0.08051170730114797
[INFO] [1743221415.076443, 158.774000]: Episode: 5/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.873 | Time: 8.1s | Head Height: 0.081
[INFO] [1743221415.180484, 158.834000]: Initial height of Gurdy: 0.07130829714093811
[INFO] [1743221416.179802, 159.385000]: Episode: 6/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.869 | Time: 9.2s | Head Height: 0.073
[INFO] [1743221416.297835, 159.503000]: Initial height of Gurdy: 0.07200466167014628
[INFO] [1743221417.288138, 160.088000]: Episode: 7/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.865 | Time: 10.3s | Head Height: 0.074
[INFO] [1743221417.394403, 160.180000]: Initial height of Gurdy: 0.07069215899433526
[INFO] [1743221418.588871, 160.878000]: Episode: 8/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.860 | Time: 11.6s | Head Height: 0.071
[INFO] [1743221418.701706, 160.935000]: Initial height of Gurdy: 0.06563053032620526
[INFO] [1743221419.737262, 161.470000]: Episode: 9/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.856 | Time: 12.7s | Head Height: 0.072
[INFO] [1743221419.903217, 161.559000]: Initial height of Gurdy: 0.07467896001813742
[INFO] [1743221421.202804, 162.255000]: Episode: 10/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.852 | Time: 14.2s | Head Height: 0.073
[INFO] [1743221421.309944, 162.311000]: Initial height of Gurdy: 0.07983308626656604
[INFO] [1743221422.392530, 162.901000]: Episode: 11/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.847 | Time: 15.4s | Head Height: 0.078
[INFO] [1743221422.501227, 162.944000]: Initial height of Gurdy: 0.07921955791510807
[INFO] [1743221423.521735, 163.406000]: Episode: 12/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.843 | Time: 16.5s | Head Height: 0.079
[INFO] [1743221423.626882, 163.460000]: Initial height of Gurdy: 0.06854711936959465
[INFO] [1743221424.693800, 163.985000]: Episode: 13/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.839 | Time: 17.7s | Head Height: 0.071
[INFO] [1743221424.798449, 164.032000]: Initial height of Gurdy: 0.08135798175571819
[INFO] [1743221425.940764, 164.672000]: Episode: 14/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.835 | Time: 18.9s | Head Height: 0.081
[INFO] [1743221426.076869, 164.736000]: Initial height of Gurdy: 0.0708527304212345
[INFO] [1743221427.349161, 165.439000]: Episode: 15/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.831 | Time: 20.3s | Head Height: 0.071
[INFO] [1743221427.502086, 165.519000]: Initial height of Gurdy: 0.07401659459812324
[INFO] [1743221428.509608, 166.100000]: Episode: 16/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.826 | Time: 21.5s | Head Height: 0.073
[INFO] [1743221428.620646, 166.158000]: Initial height of Gurdy: 0.07244864441442653
[INFO] [1743221429.814802, 166.851000]: Episode: 17/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.822 | Time: 22.8s | Head Height: 0.074
[INFO] [1743221429.981578, 166.945000]: Initial height of Gurdy: 0.07885608071707235
